modelo,estrategia,n_folds,RMSE_simple_mean,RMSE_pooled_ponderado,delta_RMSE_pct,MAE_simple_mean,MAE_pooled_ponderado,delta_MAE_pct
OLS,SpatialBlock,5,135.7734,151.4939,11.58,82.4524,82.5866,0.16
OLS,SpatialBlock_buf,5,179.2907,194.43,8.44,96.408,98.1096,1.76
MLP,SpatialBlock,5,114.2837,127.299,11.39,67.6752,69.2126,2.27
MLP,SpatialBlock_buf,5,166.5774,187.4826,12.55,93.362,93.6374,0.29
GWR-17,SpatialBlock,5,117.5949,134.4197,14.31,71.3162,73.6818,3.32
GWR-27,SpatialBlock,5,108.5321,123.4441,13.74,66.5962,68.6895,3.14
GWR-27,SpatialBlock_buf,5,187.3465,200.1037,6.81,105.6968,103.9703,-1.63
GNNWR,SpatialBlock,5,96.7846,109.2625,12.89,58.6406,59.9442,2.22
GNNWR,SpatialBlock_buf,5,170.3509,194.6518,14.27,105.9774,106.6943,0.68
SANNWR,SpatialBlock,5,101.2062,114.6909,13.32,61.7302,63.4791,2.83
SANNWR,SpatialBlock_buf,5,162.4678,184.745,13.71,93.1126,93.6382,0.56
SANNWR*,SpatialBlock,5,99.3322,112.3988,13.15,58.5025,59.5548,1.8
SANNWR*,SpatialBlock_buf,5,169.1994,194.2357,14.8,97.3682,97.7938,0.44
GSAWR,SpatialBlock,5,112.4718,127.4018,13.27,66.99,68.9163,2.88
GSAWR,SpatialBlock_buf,5,186.5651,203.6815,9.17,104.7917,104.4225,-0.35
