modelo_A,modelo_B,n_regiones,dif_MAE_media,IC90_inf,IC90_sup,delta_min,p_diferencia
GNNWR,SANNWR,5,-1.465,-3.749,0.818,3.749,0.24315
GWR,RF,5,0.1,-7.93,8.129,8.129,0.98018
GWR,SANNWR,5,5.188,1.752,8.623,8.623,0.03231
RF,MLP,5,-6.072,-9.459,-2.685,9.459,0.01875
GWR,GNNWR,5,6.653,1.76,11.546,11.546,0.04417
SANNWR,RF,5,-5.088,-13.008,2.832,13.008,0.24268
GNNWR,RF,5,-6.553,-13.226,0.119,13.226,0.10437
GWR,MLP,5,-5.973,-14.027,2.082,14.027,0.18906
SANNWR,MLP,5,-11.16,-19.9,-2.42,19.9,0.05287
GNNWR,MLP,5,-12.626,-20.252,-4.999,20.252,0.02425
OLS,MLP,5,9.883,-1.975,21.742,21.742,0.15024
OLS,RF,5,15.956,6.396,25.516,25.516,0.02363
OLS,GWR,5,15.856,3.293,28.42,28.42,0.05463
OLS,SANNWR,5,21.044,7.718,34.369,34.369,0.02813
OLS,GNNWR,5,22.509,9.113,35.905,35.905,0.02313
