seed,estrategia,fold,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
42,RandomKFold,0,42.8861,74.4406,25.3338,0.8812,0.832,1.010778
42,RandomKFold,1,50.1329,89.2635,30.2612,0.8368,0.7946,1.027077
42,RandomKFold,2,45.3302,92.2303,24.7613,0.8224,0.8276,1.033052
42,RandomKFold,3,46.3228,95.3796,22.1242,0.8251,0.8478,1.003396
42,RandomKFold,4,46.3722,88.0006,20.5744,0.8617,0.8747,1.003812
42,SpatialBlock,0,30.0553,41.3306,28.0513,0.5004,0.5239,1.032858
42,SpatialBlock,1,77.058,137.2896,29.3015,0.7883,0.8342,1.028779
42,SpatialBlock,2,91.848,147.3665,50.2515,0.7361,0.6733,1.019939
42,SpatialBlock,3,65.2334,116.6087,31.8416,0.678,0.3189,1.048503
42,SpatialBlock,4,29.79,41.8286,25.1786,0.5024,0.5449,1.040517
2011,RandomKFold,0,44.0932,78.4033,25.4561,0.8682,0.8312,1.021494
2011,RandomKFold,1,47.0445,86.8878,29.2359,0.8454,0.8062,1.028659
2011,RandomKFold,2,46.2333,93.19,29.2357,0.8187,0.8024,1.028191
2011,RandomKFold,3,45.1808,95.5182,22.3142,0.8246,0.8497,1.022088
2011,RandomKFold,4,48.6156,97.6708,21.2706,0.8296,0.8664,1.061494
2011,SpatialBlock,0,30.5513,41.9757,28.6543,0.4847,0.4903,1.034815
2011,SpatialBlock,1,71.9531,127.6079,28.1761,0.8171,0.8526,1.030938
2011,SpatialBlock,2,93.5542,149.8985,50.1578,0.7269,0.6676,1.021095
2011,SpatialBlock,3,67.5901,123.8215,32.8128,0.6369,0.2476,1.0448
2011,SpatialBlock,4,29.6014,42.1098,24.7717,0.4957,0.5454,1.036114
456,RandomKFold,0,44.8005,78.0274,26.3092,0.8694,0.8192,1.049782
456,RandomKFold,1,49.3917,88.2373,30.016,0.8406,0.7968,1.031237
456,RandomKFold,2,46.2653,93.3251,29.3028,0.8182,0.8018,1.034855
456,RandomKFold,3,45.0799,95.014,21.9581,0.8265,0.8523,1.017679
456,RandomKFold,4,45.8436,89.2293,20.9649,0.8578,0.8711,1.032224
456,SpatialBlock,0,29.8744,40.8765,27.805,0.5113,0.5056,1.024493
456,SpatialBlock,1,74.0225,131.5627,28.7822,0.8056,0.8355,1.035661
456,SpatialBlock,2,92.8233,150.4001,49.2552,0.7251,0.6728,1.017507
456,SpatialBlock,3,62.5272,112.6502,31.3903,0.6995,0.5348,1.03662
456,SpatialBlock,4,29.7419,41.9889,24.9333,0.4986,0.5439,1.038642
777,RandomKFold,0,45.0742,81.8583,25.607,0.8563,0.8285,1.044274
777,RandomKFold,1,48.6342,87.6188,29.281,0.8428,0.8009,1.032682
777,RandomKFold,2,44.5767,91.3836,25.0173,0.8257,0.8268,1.005998
777,RandomKFold,3,45.2815,95.3885,22.2832,0.8251,0.8487,1.004634
777,RandomKFold,4,50.9988,102.9852,22.8269,0.8106,0.8506,1.033989
777,SpatialBlock,0,28.691,39.8822,26.4984,0.5348,0.5471,1.020189
777,SpatialBlock,1,78.2477,136.5489,29.6708,0.7906,0.8296,1.013437
777,SpatialBlock,2,91.4068,148.4108,47.5322,0.7323,0.6813,1.024395
777,SpatialBlock,3,64.1008,115.4929,31.8656,0.6841,0.3845,1.032097
777,SpatialBlock,4,29.9059,41.7842,25.014,0.5035,0.5431,1.039575
2026,RandomKFold,0,45.2049,82.9876,25.9376,0.8523,0.8231,1.018455
2026,RandomKFold,1,46.4931,86.8117,28.3729,0.8457,0.8126,1.043955
2026,RandomKFold,2,46.1635,94.3323,29.1974,0.8142,0.8031,1.028619
2026,RandomKFold,3,46.123,98.8154,21.8759,0.8123,0.8521,1.052422
2026,RandomKFold,4,46.5536,95.8807,20.2647,0.8358,0.88,1.019762
2026,SpatialBlock,0,30.3837,41.1363,28.2979,0.5051,0.4795,1.012196
2026,SpatialBlock,1,79.2942,137.0927,30.0253,0.7889,0.8376,1.029488
2026,SpatialBlock,2,93.5097,156.2936,50.1045,0.7031,0.6694,1.024769
2026,SpatialBlock,3,67.4731,119.9347,32.653,0.6594,0.1519,1.024147
2026,SpatialBlock,4,29.7002,41.8517,24.7165,0.5019,0.5404,1.022724
