modelo,seed,n_test,MAE,RMSE,MAPE,R2,R2_log,Moran_I_holdout
GNNWR,42,1011,46.1358,91.7141,26.6462,0.831,0.8216,0.068514
GNNWR,2011,1011,47.3527,95.2703,27.4981,0.8177,0.8116,0.07407
GNNWR,456,1011,48.4649,99.6083,27.3986,0.8007,0.8117,0.080186
GNNWR,777,1011,47.0487,94.2557,28.2179,0.8215,0.8116,0.078793
GNNWR,2026,1011,49.2295,102.0879,28.4953,0.7906,0.807,0.098585
GNNWR,99,1011,48.8973,98.3069,29.1481,0.8058,0.8045,0.105345
GNNWR,1234,1011,49.4886,101.1323,28.4712,0.7945,0.8064,0.093095
GNNWR,888,1011,48.626,98.7824,28.361,0.804,0.8083,0.089522
GNNWR,314,1011,49.2281,100.0445,29.1352,0.7989,0.8036,0.100512
GNNWR,7,1011,48.2009,97.6659,29.0465,0.8084,0.8056,0.096614
