modelo,estrategia,fold,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
GNNWR,RandomKFold,0,46.4499,81.1967,27.1838,0.8586,0.8187,1.040911
GNNWR,RandomKFold,1,47.477,89.4998,29.8536,0.836,0.7996,1.029592
GNNWR,RandomKFold,2,43.2578,91.214,24.5331,0.8263,0.8346,1.027416
GNNWR,RandomKFold,3,48.1484,98.4734,23.6801,0.8136,0.8383,1.039626
GNNWR,RandomKFold,4,51.1331,100.6897,22.9297,0.8189,0.8509,1.010481
GNNWR,SpatialBlock,0,29.756,41.0788,27.5391,0.5065,0.5026,1.0282
GNNWR,SpatialBlock,1,77.4505,134.3187,29.6034,0.7974,0.8389,1.015792
GNNWR,SpatialBlock,2,89.552,144.0862,48.1449,0.7477,0.6823,1.025509
GNNWR,SpatialBlock,3,66.2326,116.8921,33.5776,0.6764,0.3144,1.04855
GNNWR,SpatialBlock,4,29.4704,42.3892,24.0472,0.489,0.5452,1.033756
GNNWR,SpatialBlock_buf,0,51.2237,62.2535,49.5032,-0.1335,-0.0627,1.034735
GNNWR,SpatialBlock_buf,1,160.5776,300.4517,41.2424,-0.0138,0.3502,1.02725
GNNWR,SpatialBlock_buf,2,152.4989,233.8544,75.7477,0.3353,0.4632,1.023329
GNNWR,SpatialBlock_buf,3,94.1668,166.9931,47.5667,0.3396,0.4491,1.01577
GNNWR,SpatialBlock_buf,4,52.9258,67.3471,48.0761,-0.2899,-0.1855,1.001363
