modelo,estrategia,fold,MAE,RMSE,MAPE,R2,R2_log
GWR-27,RandomKFold,0,45.9325,83.2079,28.8065,0.8515,0.8108
GWR-27,RandomKFold,1,50.9924,99.7007,29.5776,0.7965,0.7989
GWR-27,RandomKFold,2,47.6195,98.9428,27.679,0.7956,0.8012
GWR-27,RandomKFold,3,47.6395,101.8286,23.5368,0.8007,0.8329
GWR-27,RandomKFold,4,50.3829,102.5337,22.8693,0.8123,0.8528
GWR-27,SpatialBlock,0,29.5363,42.6599,28.2842,0.4677,0.4864
GWR-27,SpatialBlock,1,83.7474,146.1163,31.4999,0.7602,-0.0804
GWR-27,SpatialBlock,2,106.1862,169.4438,58.2721,0.6511,0.6069
GWR-27,SpatialBlock,3,76.6358,134.7732,39.0599,0.5699,0.3342
GWR-27,SpatialBlock,4,36.8754,49.6675,31.1367,0.2985,0.4178
GWR-27,SpatialBlock_buf,0,60.099,85.0491,59.1006,-1.1156,-0.5567
GWR-27,SpatialBlock_buf,1,147.2819,274.2699,44.0085,0.1551,0.4604
GWR-27,SpatialBlock_buf,2,148.7768,278.0448,52.2517,0.0604,0.3855
GWR-27,SpatialBlock_buf,3,81.1712,161.7822,37.4584,0.3802,0.4944
GWR-27,SpatialBlock_buf,4,91.1551,137.5865,74.5566,-4.3835,-1.4583
