modelo,estrategia,fold,MAE,RMSE,MAPE,R2,R2_log
OLS,RandomKFold,0,74.3835,136.6263,42.614,0.5997,0.6436
OLS,RandomKFold,1,75.3751,135.0584,47.1887,0.6265,0.6207
OLS,RandomKFold,2,70.1034,137.8185,44.9269,0.6035,0.6483
OLS,RandomKFold,3,76.5592,145.9554,38.3684,0.5905,0.665
OLS,RandomKFold,4,76.5374,152.8227,36.3171,0.5829,0.6901
OLS,SpatialBlock,0,47.9187,69.2059,46.5439,-0.4008,0.0274
OLS,SpatialBlock,1,108.6454,200.0976,38.5468,0.5503,0.6816
OLS,SpatialBlock,2,137.5385,214.5664,70.1443,0.4405,0.5291
OLS,SpatialBlock,3,78.745,143.5326,41.463,0.5121,0.5011
OLS,SpatialBlock,4,39.4142,51.4644,35.2874,0.2468,0.3693
OLS,SpatialBlock_buf,0,60.6058,136.7894,58.5002,-4.4727,-0.4505
OLS,SpatialBlock_buf,1,140.2564,264.5034,42.2009,0.2142,0.5345
OLS,SpatialBlock_buf,2,135.7033,262.3157,54.4611,0.1637,0.42
OLS,SpatialBlock_buf,3,103.0093,175.6186,58.0853,0.2696,0.3681
OLS,SpatialBlock_buf,4,42.4654,57.2266,37.48,0.0687,0.2549
