modelo,estrategia,seed,fold,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
RF,RandomKFold,42,0,39.8128,76.3147,20.8428,0.8751,0.8604,1.003794
RF,RandomKFold,42,1,39.2314,79.6354,21.487,0.8701,0.8546,1.004564
RF,RandomKFold,42,2,37.5074,85.2766,19.0103,0.8482,0.863,1.004993
RF,RandomKFold,42,3,38.4262,81.5317,19.5432,0.8722,0.8669,1.003938
RF,RandomKFold,42,4,39.4889,81.6499,17.9594,0.8809,0.8896,1.004581
RF,SpatialBlock,42,0,33.1045,47.0397,29.0379,0.3528,0.3924,1.003416
RF,SpatialBlock,42,1,94.5823,167.1277,33.239,0.6863,0.7924,1.004553
RF,SpatialBlock,42,2,104.2715,156.1595,51.5866,0.7036,0.6322,1.002742
RF,SpatialBlock,42,3,67.8979,123.4687,29.7129,0.639,0.5579,1.004045
RF,SpatialBlock,42,4,31.1571,44.1357,25.326,0.446,0.4801,1.004152
RF,SpatialBlock_buf,42,0,43.6146,59.847,40.7582,-0.0476,0.0948,1.004334
RF,SpatialBlock_buf,42,1,153.1408,282.9252,40.831,0.101,0.4443,1.005212
RF,SpatialBlock_buf,42,2,158.2882,294.1104,50.0123,-0.0513,0.231,1.00378
RF,SpatialBlock_buf,42,3,103.3943,200.6909,40.938,0.0462,0.146,1.002114
RF,SpatialBlock_buf,42,4,37.4897,55.7652,27.2023,0.1156,0.106,1.004332
RF,RandomKFold,2011,0,39.8795,75.7489,20.6441,0.8769,0.8624,1.004369
RF,RandomKFold,2011,1,39.1914,79.408,21.6602,0.8709,0.854,1.004389
RF,RandomKFold,2011,2,37.0101,84.3814,19.0501,0.8514,0.8611,1.005015
RF,RandomKFold,2011,3,38.2154,81.7371,19.5135,0.8716,0.8673,1.004153
RF,RandomKFold,2011,4,39.348,82.755,17.8572,0.8777,0.8905,1.004935
RF,SpatialBlock,2011,0,33.1196,46.9095,29.1384,0.3564,0.3897,1.003563
RF,SpatialBlock,2011,1,96.7367,173.9055,32.8648,0.6603,0.7819,1.004339
RF,SpatialBlock,2011,2,104.551,157.5269,50.3599,0.6984,0.636,1.00337
RF,SpatialBlock,2011,3,67.8812,123.5657,29.8299,0.6384,0.5509,1.003707
RF,SpatialBlock,2011,4,31.2271,44.1154,25.3986,0.4465,0.4794,1.004401
RF,SpatialBlock_buf,2011,0,42.7392,58.0432,40.0464,0.0146,0.1118,1.004682
RF,SpatialBlock_buf,2011,1,152.072,283.4713,40.6569,0.0975,0.4536,1.005739
RF,SpatialBlock_buf,2011,2,154.9603,291.7197,49.0505,-0.0343,0.2686,1.00411
RF,SpatialBlock_buf,2011,3,102.8024,200.0257,40.8842,0.0525,0.1497,1.002861
RF,SpatialBlock_buf,2011,4,37.5994,55.8599,27.3156,0.1126,0.0958,1.00316
RF,RandomKFold,456,0,39.805,75.6235,20.8343,0.8774,0.86,1.00417
RF,RandomKFold,456,1,39.7881,79.8988,21.9786,0.8693,0.8507,1.004085
RF,RandomKFold,456,2,36.966,83.6525,18.8892,0.8539,0.866,1.005078
RF,RandomKFold,456,3,38.4899,82.5173,19.5484,0.8691,0.8663,1.004064
RF,RandomKFold,456,4,39.5285,82.4875,18.015,0.8785,0.8892,1.004019
RF,SpatialBlock,456,0,33.1846,46.8689,29.2231,0.3575,0.3902,1.003381
RF,SpatialBlock,456,1,98.738,178.3109,33.342,0.6429,0.7719,1.004502
RF,SpatialBlock,456,2,103.7509,157.1459,50.8514,0.6999,0.6424,1.003283
RF,SpatialBlock,456,3,67.5946,122.5686,29.7778,0.6442,0.5649,1.003636
RF,SpatialBlock,456,4,31.1672,44.2149,25.3556,0.444,0.4797,1.004397
RF,SpatialBlock_buf,456,0,43.3524,59.3725,40.6559,-0.031,0.0933,1.004267
RF,SpatialBlock_buf,456,1,151.2548,281.8314,40.9923,0.1079,0.4734,1.005205
RF,SpatialBlock_buf,456,2,154.44,289.5814,49.1008,-0.0192,0.2831,1.004627
RF,SpatialBlock_buf,456,3,101.3475,198.9915,40.4356,0.0623,0.1738,1.002521
RF,SpatialBlock_buf,456,4,37.4921,55.6962,27.2976,0.1178,0.0934,1.004424
RF,RandomKFold,777,0,39.5183,75.1468,20.7662,0.8789,0.8618,1.00494
RF,RandomKFold,777,1,40.0902,80.9347,21.829,0.8659,0.8521,1.004546
RF,RandomKFold,777,2,37.2088,84.4296,18.895,0.8512,0.8616,1.004671
RF,RandomKFold,777,3,38.2892,81.6206,19.5527,0.8719,0.8668,1.004079
RF,RandomKFold,777,4,39.7659,83.6851,17.9911,0.8749,0.8883,1.00426
RF,SpatialBlock,777,0,33.2631,47.1457,29.242,0.3499,0.3856,1.003368
RF,SpatialBlock,777,1,95.7082,170.3595,33.2293,0.674,0.7867,1.004426
RF,SpatialBlock,777,2,104.1523,156.224,50.965,0.7034,0.6418,1.003095
RF,SpatialBlock,777,3,68.2092,123.4817,29.9966,0.6389,0.551,1.003943
RF,SpatialBlock,777,4,31.2754,44.0942,25.368,0.4471,0.4788,1.003821
RF,SpatialBlock_buf,777,0,42.5143,57.3284,40.0558,0.0388,0.1014,1.004423
RF,SpatialBlock_buf,777,1,155.0273,286.3407,40.81,0.0791,0.4241,1.004663
RF,SpatialBlock_buf,777,2,154.1388,289.2828,49.2284,-0.0171,0.2892,1.004217
RF,SpatialBlock_buf,777,3,102.1385,199.5321,40.6889,0.0572,0.1675,1.001834
RF,SpatialBlock_buf,777,4,37.5488,55.9617,27.0861,0.1094,0.0896,1.003704
RF,RandomKFold,2026,0,39.761,75.3391,20.5869,0.8783,0.8634,1.003713
RF,RandomKFold,2026,1,39.7981,79.8402,21.3634,0.8695,0.8567,1.004184
RF,RandomKFold,2026,2,37.3812,84.4041,19.0845,0.8513,0.8621,1.004496
RF,RandomKFold,2026,3,38.1972,81.6235,19.5937,0.8719,0.8668,1.003365
RF,RandomKFold,2026,4,39.7121,83.1375,17.9954,0.8766,0.8893,1.004573
RF,SpatialBlock,2026,0,33.8445,47.7676,29.6821,0.3326,0.3683,1.00357
RF,SpatialBlock,2026,1,94.9835,169.7537,32.895,0.6764,0.7892,1.004426
RF,SpatialBlock,2026,2,102.8326,156.5027,49.7758,0.7023,0.6441,1.003436
RF,SpatialBlock,2026,3,67.5581,122.7137,29.6957,0.6434,0.5563,1.003978
RF,SpatialBlock,2026,4,30.887,44.1494,25.1038,0.4457,0.4823,1.004295
RF,SpatialBlock_buf,2026,0,44.9079,61.6334,42.0025,-0.111,0.0484,1.003822
RF,SpatialBlock_buf,2026,1,151.8327,282.6771,40.4132,0.1026,0.4728,1.004118
RF,SpatialBlock_buf,2026,2,152.8745,288.2156,48.8171,-0.0096,0.3026,1.003309
RF,SpatialBlock_buf,2026,3,101.926,199.7399,40.5386,0.0552,0.1727,1.002233
RF,SpatialBlock_buf,2026,4,37.3156,55.6755,27.0588,0.1185,0.1031,1.003977
RF,RandomKFold,99,0,39.9631,76.0986,20.7911,0.8758,0.8617,1.003916
RF,RandomKFold,99,1,39.4934,79.005,21.4528,0.8722,0.8546,1.005064
RF,RandomKFold,99,2,37.5909,85.047,19.3306,0.849,0.8579,1.004124
RF,RandomKFold,99,3,38.3712,82.2662,19.365,0.8699,0.8686,1.003644
RF,RandomKFold,99,4,39.2986,82.6571,17.9541,0.878,0.8884,1.004117
RF,SpatialBlock,99,0,33.4109,47.0653,29.3733,0.3521,0.3836,1.003365
RF,SpatialBlock,99,1,96.6028,175.534,32.47,0.6539,0.7819,1.00416
RF,SpatialBlock,99,2,104.4836,156.1429,52.3124,0.7037,0.6304,1.00353
RF,SpatialBlock,99,3,68.2131,123.8372,29.7631,0.6368,0.5549,1.003926
RF,SpatialBlock,99,4,31.1054,44.2703,25.2282,0.4426,0.4812,1.004194
RF,SpatialBlock_buf,99,0,42.9069,58.553,40.19,-0.0027,0.1042,1.004467
RF,SpatialBlock_buf,99,1,154.634,283.9507,41.6109,0.0945,0.44,1.004711
RF,SpatialBlock_buf,99,2,155.0248,288.29,49.6821,-0.0101,0.2781,1.003984
RF,SpatialBlock_buf,99,3,102.7921,200.0283,40.7904,0.0525,0.1563,1.002628
RF,SpatialBlock_buf,99,4,37.6966,55.8943,27.3658,0.1115,0.0919,1.003912
RF,RandomKFold,1234,0,39.6585,75.0675,20.7475,0.8792,0.862,1.004201
RF,RandomKFold,1234,1,39.2809,79.507,21.2409,0.8706,0.857,1.003925
RF,RandomKFold,1234,2,37.2989,84.8834,18.9117,0.8496,0.8636,1.004829
RF,RandomKFold,1234,3,38.4005,82.7231,19.527,0.8685,0.8661,1.003857
RF,RandomKFold,1234,4,39.9456,83.8973,17.9934,0.8743,0.889,1.004538
RF,SpatialBlock,1234,0,33.0253,46.6326,29.1746,0.364,0.3935,1.003368
RF,SpatialBlock,1234,1,97.713,177.3468,32.7075,0.6468,0.775,1.00479
RF,SpatialBlock,1234,2,103.3934,155.8368,50.578,0.7048,0.6376,1.003522
RF,SpatialBlock,1234,3,68.0052,123.2885,29.7239,0.64,0.5492,1.003389
RF,SpatialBlock,1234,4,31.1874,44.0772,25.4041,0.4475,0.4813,1.003726
RF,SpatialBlock_buf,1234,0,42.7434,58.8443,40.0105,-0.0127,0.1015,1.004538
RF,SpatialBlock_buf,1234,1,153.4895,284.5849,40.7759,0.0904,0.435,1.005111
RF,SpatialBlock_buf,1234,2,152.1414,287.8683,49.1372,-0.0072,0.3087,1.003863
RF,SpatialBlock_buf,1234,3,102.0615,199.31,40.7983,0.0593,0.1647,1.002253
RF,SpatialBlock_buf,1234,4,37.6406,55.7816,27.4027,0.1151,0.0867,1.003748
RF,RandomKFold,888,0,39.8112,75.8507,20.8243,0.8766,0.8599,1.004118
RF,RandomKFold,888,1,39.6202,80.2278,21.845,0.8682,0.8522,1.004326
RF,RandomKFold,888,2,37.2409,84.1223,18.9527,0.8523,0.8626,1.004697
RF,RandomKFold,888,3,38.3219,82.1144,19.3518,0.8704,0.8687,1.004597
RF,RandomKFold,888,4,39.3699,81.735,18.0507,0.8807,0.889,1.00492
RF,SpatialBlock,888,0,33.0949,46.8808,29.0985,0.3572,0.3913,1.003531
RF,SpatialBlock,888,1,95.8273,171.8407,32.8456,0.6684,0.7854,1.004504
RF,SpatialBlock,888,2,104.6507,158.1858,51.3821,0.6959,0.6315,1.004032
RF,SpatialBlock,888,3,67.9631,123.9463,29.8723,0.6362,0.5537,1.004142
RF,SpatialBlock,888,4,30.9463,43.7807,25.2109,0.4549,0.4858,1.003835
RF,SpatialBlock_buf,888,0,43.8057,61.4273,40.6359,-0.1036,0.0914,1.004414
RF,SpatialBlock_buf,888,1,152.5386,283.0002,40.5903,0.1005,0.4558,1.004938
RF,SpatialBlock_buf,888,2,154.1342,289.897,48.8672,-0.0214,0.2861,1.003872
RF,SpatialBlock_buf,888,3,103.1257,200.3223,40.9083,0.0497,0.1427,1.002814
