modelo,estrategia,fold,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_seeds
HGB,RandomKFold,0,41.719,0.0,76.1893,0.0,0.8755,0.0,10
HGB,RandomKFold,1,40.3333,0.0,77.1301,0.0,0.8782,0.0,10
HGB,RandomKFold,2,39.1827,0.0,84.5273,0.0,0.8507999999999999,0.0,10
HGB,RandomKFold,3,40.8454,0.0,85.3858,0.0,0.8599,0.0,10
HGB,RandomKFold,4,40.1576,0.0,81.7096,0.0,0.8808,0.0,10
HGB,SpatialBlock,0,31.117,0.0,43.7458,0.0,0.4403,0.0,10
HGB,SpatialBlock,1,90.2569,0.0,166.649,0.0,0.6881,0.0,10
HGB,SpatialBlock,2,98.4956,0.0,147.8794,0.0,0.7342,0.0,10
HGB,SpatialBlock,3,68.5224,0.0,122.85409999999999,0.0,0.6426,0.0,10
HGB,SpatialBlock,4,33.3972,0.0,47.8734,0.0,0.3482,0.0,10
HGB,SpatialBlock_buf,0,40.5055,0.0,53.1529,0.0,0.1737,0.0,10
HGB,SpatialBlock_buf,1,134.2946,0.0,252.98500000000004,0.0,0.2812,0.0,10
HGB,SpatialBlock_buf,2,147.8847,0.0,290.6792,0.0,-0.0269,0.0,10
HGB,SpatialBlock_buf,3,90.9407,0.0,182.6842,0.0,0.2097,0.0,10
HGB,SpatialBlock_buf,4,37.359,0.0,54.5947,0.0,0.1524,0.0,10
RF,RandomKFold,0,39.7697,0.14429243454410998,75.59508000000001,0.40815789646219813,0.87745,0.0013393613735242914,10
RF,RandomKFold,1,39.52076,0.30384353868397446,79.79303999999999,0.5920098050989807,0.8696300000000001,0.0019299107636249714,10
RF,RandomKFold,2,37.23838,0.2359133776999038,84.37107999999999,0.8504826587819945,0.85139,0.0029692685219689092,10
RF,RandomKFold,3,38.34053,0.10395374024589564,82.05133,0.4141797356757613,0.87059,0.0012887978895078779,10
RF,RandomKFold,4,39.55831,0.20433012748980434,82.66450999999999,0.9707893391462439,0.87795,0.0028729582121724134,10
RF,SpatialBlock,0,33.220119999999994,0.2687422011271536,46.97904,0.34320373670589444,0.35445000000000004,0.009473501054109941,10
RF,SpatialBlock,1,96.20505,1.2736729854593292,172.68287,3.546792332689105,0.6649700000000001,0.013793883507635617,10
RF,SpatialBlock,2,104.12943,0.7017645981539811,156.84529,1.0946981201835164,0.701,0.0041806432253635225,10
RF,SpatialBlock,3,67.85714,0.3238781910945302,123.24347,0.5322420440405312,0.64028,0.0030968801505170647,10
RF,SpatialBlock,4,31.0717,0.17027909769291,44.05399,0.18663771471906349,0.44805,0.004667678461743301,10
RF,SpatialBlock_buf,0,43.39694,0.7419161051703294,59.54796,1.4565466428050518,-0.03766,0.05082803688254479,10
RF,SpatialBlock_buf,1,153.28373,1.4231329289438988,283.94025,1.4581211657091124,0.0945,0.009314981958591699,10
RF,SpatialBlock_buf,2,154.47212,1.6969649880497355,290.02058,1.9034581481550519,-0.02232,0.013448981787150694,10
RF,SpatialBlock_buf,3,102.34536,0.6682883845233987,199.7,0.5597997062442122,0.055589999999999994,0.005298731504384379,10
RF,SpatialBlock_buf,4,37.528620000000004,0.13387748794243695,55.77142,0.15281577725411105,0.11542,0.004858166092032849,10
