modelo,estrategia,fold,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
RF,RandomKFold,0,39.8128,76.3147,20.8428,0.8751,0.8604,1.003794
RF,RandomKFold,1,39.2314,79.6354,21.487,0.8701,0.8546,1.004564
RF,RandomKFold,2,37.5074,85.2766,19.0103,0.8482,0.863,1.004993
RF,RandomKFold,3,38.4262,81.5317,19.5432,0.8722,0.8669,1.003938
RF,RandomKFold,4,39.4889,81.6499,17.9594,0.8809,0.8896,1.004581
RF,SpatialBlock,0,33.1045,47.0397,29.0379,0.3528,0.3924,1.003416
RF,SpatialBlock,1,94.5823,167.1277,33.239,0.6863,0.7924,1.004553
RF,SpatialBlock,2,104.2715,156.1595,51.5866,0.7036,0.6322,1.002742
RF,SpatialBlock,3,67.8979,123.4687,29.7129,0.639,0.5579,1.004045
RF,SpatialBlock,4,31.1571,44.1357,25.326,0.446,0.4801,1.004152
RF,SpatialBlock_buf,0,43.6146,59.847,40.7582,-0.0476,0.0948,1.004334
RF,SpatialBlock_buf,1,153.1408,282.9252,40.831,0.101,0.4443,1.005212
RF,SpatialBlock_buf,2,158.2882,294.1104,50.0123,-0.0513,0.231,1.00378
RF,SpatialBlock_buf,3,103.3943,200.6909,40.938,0.0462,0.146,1.002114
RF,SpatialBlock_buf,4,37.4897,55.7652,27.2023,0.1156,0.106,1.004332
