seed,estrategia,fold,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
42,RandomKFold,0,44.2092,80.1642,28.0338,0.8622,0.8048,1.014953
42,RandomKFold,1,47.0911,91.2005,29.7471,0.8297,0.7998,1.008999
42,RandomKFold,2,45.8246,96.6913,29.9776,0.8048,0.7859,1.023515
42,RandomKFold,3,45.3949,95.6766,22.224,0.824,0.8417,1.017332
42,RandomKFold,4,48.8134,98.4678,21.9783,0.8268,0.855,1.000137
42,SpatialBlock,0,28.6443,41.0177,26.2661,0.5079,0.5261,1.015974
42,SpatialBlock,1,76.5121,136.9938,29.697,0.7892,0.826,1.008452
42,SpatialBlock,2,94.1995,147.2175,55.2019,0.7366,0.6184,1.004701
42,SpatialBlock,3,67.4604,120.11,34.3056,0.6584,0.3931,1.013197
42,SpatialBlock,4,35.2153,49.5127,29.9715,0.3028,0.4385,1.073792
2011,RandomKFold,0,47.1464,88.7623,30.2786,0.831,0.8078,1.012678
2011,RandomKFold,1,47.6312,89.2758,28.919,0.8368,0.8032,1.014286
2011,RandomKFold,2,45.2622,91.7838,26.2706,0.8241,0.8132,1.023594
2011,RandomKFold,3,44.1338,93.9352,21.3257,0.8304,0.8541,1.022767
2011,RandomKFold,4,49.3353,98.5643,22.3237,0.8265,0.8556,1.015725
2011,SpatialBlock,0,29.6327,41.3138,27.6787,0.5008,0.5016,1.008458
2011,SpatialBlock,1,72.8088,126.3045,29.7365,0.8208,0.8418,1.024061
2011,SpatialBlock,2,99.7553,155.5786,59.4333,0.7058,0.6158,1.010586
2011,SpatialBlock,3,67.2381,118.717,34.7968,0.6662,0.4241,1.003695
2011,SpatialBlock,4,31.2149,44.3213,26.2356,0.4414,0.4772,1.046379
456,RandomKFold,0,47.7525,88.2651,29.6936,0.8329,0.7905,1.026997
456,RandomKFold,1,48.1227,93.4362,29.5706,0.8212,0.7966,1.007416
456,RandomKFold,2,43.1951,89.809,27.6725,0.8316,0.807,1.008007
456,RandomKFold,3,44.7232,95.9834,21.7916,0.8229,0.8508,1.009771
456,RandomKFold,4,49.3665,98.9401,22.2829,0.8252,0.8536,0.996179
456,SpatialBlock,0,30.1967,42.368,28.4372,0.475,0.4323,1.002043
456,SpatialBlock,1,69.082,120.7336,29.0932,0.8363,0.8415,1.015504
456,SpatialBlock,2,97.0577,149.8536,57.1744,0.7271,0.6183,1.008437
456,SpatialBlock,3,70.925,124.9875,36.6328,0.6301,0.2128,1.027524
456,SpatialBlock,4,33.855,48.1049,28.2888,0.3419,0.4173,0.996017
777,RandomKFold,0,47.0706,83.473,30.1001,0.8506,0.7937,1.028136
777,RandomKFold,1,47.6385,91.7848,30.4129,0.8275,0.79,1.014614
777,RandomKFold,2,44.9512,89.7406,25.6281,0.8319,0.7987,1.002682
777,RandomKFold,3,44.7069,95.9647,21.5194,0.823,0.8489,1.025005
777,RandomKFold,4,47.0025,94.5297,21.4391,0.8404,0.8616,1.013304
777,SpatialBlock,0,31.5664,44.0936,30.4939,0.4314,0.4341,1.014063
777,SpatialBlock,1,84.8282,139.7476,32.9737,0.7807,0.8293,1.013115
777,SpatialBlock,2,99.0189,149.5096,55.7294,0.7283,0.6231,1.005904
777,SpatialBlock,3,67.0197,120.0808,33.8071,0.6585,0.41,1.020512
777,SpatialBlock,4,34.1463,47.9893,28.3648,0.3451,0.4505,1.024165
2026,RandomKFold,0,46.5114,84.5603,29.7115,0.8467,0.7784,1.043192
2026,RandomKFold,1,48.8342,96.5564,30.524,0.8091,0.7857,1.032366
2026,RandomKFold,2,47.7116,94.6446,27.6273,0.813,0.7938,1.024181
2026,RandomKFold,3,45.5596,96.8997,21.6706,0.8195,0.8529,1.014472
2026,RandomKFold,4,46.7721,94.2006,21.0136,0.8415,0.869,1.021224
2026,SpatialBlock,0,29.8712,43.0105,27.4534,0.4589,0.498,1.006865
2026,SpatialBlock,1,83.5404,139.3515,32.44,0.7819,0.8262,1.001974
2026,SpatialBlock,2,100.9036,151.9287,52.6694,0.7195,0.6458,1.023918
2026,SpatialBlock,3,69.6383,121.3637,35.3969,0.6512,0.3036,1.019708
2026,SpatialBlock,4,30.8872,43.9678,25.5803,0.4502,0.4923,0.999996
