modelo,seed,n_test,MAE,RMSE,MAPE,R2,R2_log,Moran_I_holdout
SANNWR-real,42,1011,44.3669,92.6306,31.1363,0.8276,0.8073,0.100458
SANNWR-real,2011,1011,45.1501,93.517,32.4948,0.8243,0.7924,0.108878
SANNWR-real,456,1011,43.1488,90.7221,28.7367,0.8346,0.8124,0.039548
SANNWR-real,777,1011,45.2397,97.459,31.1354,0.8092,0.7982,0.083033
SANNWR-real,2026,1011,44.5435,91.3186,29.5109,0.8325,0.8063,0.033927
SANNWR-real,99,1011,44.4394,93.2174,31.1731,0.8254,0.7954,0.108607
SANNWR-real,1234,1011,45.3632,94.5867,29.7902,0.8203,0.8103,0.08283
SANNWR-real,888,1011,42.9203,86.9306,30.0148,0.8482,0.8128,0.061655
SANNWR-real,314,1011,45.2045,93.5119,31.2085,0.8243,0.7986,0.105551
SANNWR-real,7,1011,44.3144,92.4627,29.9092,0.8282,0.805,0.06943
