modelo,estrategia,fold,MAE,RMSE,MAPE,R2,R2_log
SANNWR-real,RandomKFold,0,45.875,86.5567,29.2578,0.8393,0.803
SANNWR-real,RandomKFold,1,48.0697,92.5765,26.5171,0.8245,0.8083
SANNWR-real,RandomKFold,2,44.3449,91.1283,27.9542,0.8266,0.8091
SANNWR-real,RandomKFold,3,45.31,100.6629,21.7388,0.8052,0.8445
SANNWR-real,RandomKFold,4,47.3718,96.4695,21.1811,0.8338,0.86
SANNWR-real,SpatialBlock,0,29.9732,42.1291,28.2359,0.4809,0.4778
SANNWR-real,SpatialBlock,1,84.6153,142.6393,32.7295,0.7715,0.8241
SANNWR-real,SpatialBlock,2,92.7272,150.0741,53.9067,0.7263,0.6266
SANNWR-real,SpatialBlock,3,69.4308,125.1968,33.9504,0.6288,0.3479
SANNWR-real,SpatialBlock,4,31.9043,45.9919,25.4408,0.3984,0.4548
SANNWR-real,SpatialBlock_buf,0,40.588,52.6849,36.907,0.1882,0.166
SANNWR-real,SpatialBlock_buf,1,142.526,265.6908,48.1543,0.2072,0.534
SANNWR-real,SpatialBlock_buf,2,140.257,256.8164,53.3725,0.1984,0.4963
SANNWR-real,SpatialBlock_buf,3,85.4255,162.2278,44.3532,0.3768,0.4047
SANNWR-real,SpatialBlock_buf,4,56.7663,74.919,47.2756,-0.5962,-0.2555
