modelo,decil,n,val_min,val_max,MAE,RMSE,MAPE
OLS,1,102,6.0,70.47,51.029,73.2779,197.8428
OLS,2,101,70.63,90.53,31.1342,41.4761,38.2756
OLS,3,105,90.95,109.0,28.2323,37.5822,28.2382
OLS,4,97,109.7,126.0,39.8906,53.9352,33.8083
OLS,5,101,126.8,158.22,36.5011,52.9111,25.7165
OLS,6,101,159.0,197.0,45.7368,58.8841,25.5586
OLS,7,103,197.45,235.0,54.3228,69.7088,25.348
OLS,8,101,236.0,294.0,58.1231,86.7314,22.3731
OLS,9,99,295.0,400.0,97.7193,120.1611,28.1334
OLS,10,101,403.15,2253.0,281.7887,386.1663,34.2719
MLP,1,102,6.0,70.47,31.7121,73.2301,180.5041
MLP,2,101,70.63,90.53,14.8893,18.7409,18.1378
MLP,3,105,90.95,109.0,17.6537,23.2565,17.5243
MLP,4,97,109.7,126.0,22.9402,33.513,19.3827
MLP,5,101,126.8,158.22,27.5822,37.6201,19.3856
MLP,6,101,159.0,197.0,32.8581,45.173,18.5844
MLP,7,103,197.45,235.0,36.2175,44.7071,16.8825
MLP,8,101,236.0,294.0,46.0922,66.0674,17.7428
MLP,9,99,295.0,400.0,66.1596,86.9349,19.247
MLP,10,101,403.15,2253.0,189.0479,268.3396,23.5584
GWR-17,1,102,6.0,70.47,28.688,54.8859,147.2854
GWR-17,2,101,70.63,90.53,14.4334,19.6932,17.7027
GWR-17,3,105,90.95,109.0,16.1748,22.3203,16.0555
GWR-17,4,97,109.7,126.0,23.0453,34.3545,19.4326
GWR-17,5,101,126.8,158.22,26.6979,35.5968,18.8719
GWR-17,6,101,159.0,197.0,31.1332,42.0416,17.6963
GWR-17,7,103,197.45,235.0,36.4524,49.3677,17.0783
GWR-17,8,101,236.0,294.0,41.4934,60.8899,15.8786
GWR-17,9,99,295.0,400.0,71.4128,87.4388,20.5447
GWR-17,10,101,403.15,2253.0,183.927,257.9663,23.7645
GWR-27,1,102,6.0,70.47,28.0918,46.7048,126.8292
GWR-27,2,101,70.63,90.53,14.3066,20.5519,17.5396
GWR-27,3,105,90.95,109.0,16.433,23.3278,16.4014
GWR-27,4,97,109.7,126.0,19.8034,29.727,16.7502
GWR-27,5,101,126.8,158.22,25.7512,33.5576,18.2297
GWR-27,6,101,159.0,197.0,29.8632,40.5788,16.9342
GWR-27,7,103,197.45,235.0,36.7811,47.281,17.1886
GWR-27,8,101,236.0,294.0,43.5837,61.7862,16.7377
GWR-27,9,99,295.0,400.0,78.3134,97.1294,22.5951
GWR-27,10,101,403.15,2253.0,196.1324,272.5378,25.106
GNNWR,1,102,6.0,70.47,29.6119,50.6327,137.7613
GNNWR,2,101,70.63,90.53,14.2908,19.5626,17.5378
GNNWR,3,105,90.95,109.0,15.2792,21.795,15.2599
GNNWR,4,97,109.7,126.0,20.7496,29.2714,17.5112
GNNWR,5,101,126.8,158.22,25.6908,33.5572,18.1028
GNNWR,6,101,159.0,197.0,31.4655,42.8074,17.7857
GNNWR,7,103,197.45,235.0,37.4419,46.6141,17.4938
GNNWR,8,101,236.0,294.0,41.8248,54.3601,16.1205
GNNWR,9,99,295.0,400.0,69.0169,85.0805,19.808
GNNWR,10,101,403.15,2253.0,203.4955,279.5144,25.5707
SANNWR,1,102,6.0,70.47,28.5544,62.8597,152.8289
SANNWR,2,101,70.63,90.53,12.302,16.2743,14.9925
SANNWR,3,105,90.95,109.0,17.0366,23.2279,16.9562
SANNWR,4,97,109.7,126.0,19.7117,27.8377,16.7048
SANNWR,5,101,126.8,158.22,23.5643,31.2618,16.732
SANNWR,6,101,159.0,197.0,30.7099,48.5794,17.6008
SANNWR,7,103,197.45,235.0,35.2199,44.9092,16.3292
SANNWR,8,101,236.0,294.0,42.8387,55.3811,16.5646
SANNWR,9,99,295.0,400.0,64.7728,81.7603,18.6917
SANNWR,10,101,403.15,2253.0,169.5523,255.8045,21.9527
SANNWR*,1,102,6.0,70.47,25.2655,55.0825,138.0612
SANNWR*,2,101,70.63,90.53,14.0806,19.3597,17.2698
SANNWR*,3,105,90.95,109.0,15.8347,25.0503,15.8265
SANNWR*,4,97,109.7,126.0,20.7552,29.3399,17.5466
SANNWR*,5,101,126.8,158.22,26.4048,33.8216,18.7195
SANNWR*,6,101,159.0,197.0,31.9085,43.942,18.0438
SANNWR*,7,103,197.45,235.0,35.0281,45.1228,16.2715
SANNWR*,8,101,236.0,294.0,52.7578,77.4325,20.5838
SANNWR*,9,99,295.0,400.0,63.2836,81.7981,18.1767
SANNWR*,10,101,403.15,2253.0,172.6539,253.261,23.3647
GSAWR,1,102,6.0,70.47,31.2466,66.5861,163.8455
GSAWR,2,101,70.63,90.53,12.8013,17.29,15.3851
GSAWR,3,105,90.95,109.0,17.8882,27.9787,17.9028
GSAWR,4,97,109.7,126.0,20.1871,29.3798,17.0736
GSAWR,5,101,126.8,158.22,27.7178,36.6272,19.5571
GSAWR,6,101,159.0,197.0,30.6942,45.1834,17.4496
GSAWR,7,103,197.45,235.0,32.9535,42.6888,15.2923
GSAWR,8,101,236.0,294.0,42.7096,59.1684,16.3555
GSAWR,9,99,295.0,400.0,71.8239,97.7905,20.8711
GSAWR,10,101,403.15,2253.0,181.2601,259.1821,22.8678
