esquema,pliegue,modelo,semilla,semilla_efectiva,n_train,n_eval,segundos,rapido,moran_I,moran_p,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
BloquesEspaciales,0,SANNWR-adaptado,2011,3011,3444,596,202.7,False,0.344665,0.001,29.2836,41.8517,26.6714,0.4877,0.5159,1.011842
BloquesEspaciales,0,SANNWR-adaptado,2026,3026,3444,596,185.5,False,0.379238,0.001,30.365,43.0001,28.2276,0.4592,0.4755,1.018079
BloquesEspaciales,0,SANNWR-adaptado,42,1042,3444,596,316.3,False,0.376936,0.001,32.1752,44.6577,30.5899,0.4167,0.4117,0.995848
BloquesEspaciales,0,SANNWR-adaptado,456,1456,3444,596,264.3,False,0.413469,0.001,30.3539,42.6835,28.3709,0.4671,0.471,1.016002
BloquesEspaciales,0,SANNWR-adaptado,777,1777,3444,596,326.5,False,0.378872,0.001,30.0186,43.3167,28.1701,0.4512,0.4326,0.991299
BloquesEspaciales,0,SANNWR-original,2011,3011,3444,596,141.1,False,0.371438,0.001,33.277,47.3743,29.0392,0.3436,0.4367,1.015854
BloquesEspaciales,0,SANNWR-original,2026,3026,3444,596,164.7,False,0.425766,0.001,32.5953,46.2544,29.7114,0.3743,0.349,0.996058
BloquesEspaciales,0,SANNWR-original,42,1042,3444,596,224.9,False,0.413694,0.001,34.5396,48.5307,31.7138,0.3111,0.2986,0.983629
BloquesEspaciales,0,SANNWR-original,456,1456,3444,596,189.8,False,0.31644,0.001,31.593,45.92,27.9373,0.3833,0.4544,1.01069
BloquesEspaciales,0,SANNWR-original,777,1777,3444,596,345.4,False,0.400328,0.001,32.0745,45.3816,31.2348,0.3976,0.4066,1.013014
BloquesEspaciales,1,SANNWR-adaptado,2011,3012,3278,762,171.3,False,0.449612,0.001,72.6263,124.8895,28.6599,0.8248,0.8474,1.00015
BloquesEspaciales,1,SANNWR-adaptado,2026,3027,3278,762,186.9,False,0.43015,0.001,74.8507,126.7716,28.7919,0.8195,0.8581,1.007525
BloquesEspaciales,1,SANNWR-adaptado,42,1043,3278,762,194.2,False,0.439516,0.001,78.6727,131.4162,30.7937,0.806,0.8395,0.997042
