esquema,modelo,MAE_en_fold,MAE_global,RMSE_en_fold,RMSE_global,delta_RMSE,delta_pct,puesto_global,puesto_en_fold,cambia_de_puesto
BloquesEspaciales,GNNWR,59.239,59.617,97.775,99.235,-1.46,-1.47,2,1,True
BloquesEspaciales,GWR,66.596,66.592,108.488,108.531,-0.043,-0.04,5,5,False
BloquesEspaciales,OLS,82.453,82.452,135.767,135.773,-0.006,-0.0,6,6,False
BloquesEspaciales,RF,66.136,66.087,107.901,107.854,0.047,0.04,4,4,False
BloquesEspaciales,SANNWR-adaptado,60.241,62.284,99.141,99.167,-0.026,-0.03,1,2,True
BloquesEspaciales,SANNWR-original,63.515,63.338,101.863,101.541,0.322,0.32,3,3,False
ConjuntoDePrueba20,GNNWR,48.99,48.324,99.28,96.329,2.951,3.06,4,5,True
ConjuntoDePrueba20,GWR,48.122,48.79,96.771,98.152,-1.381,-1.41,5,4,True
ConjuntoDePrueba20,OLS,72.295,72.295,139.01,139.009,0.001,0.0,6,6,False
ConjuntoDePrueba20,RF,37.494,37.507,76.595,76.638,-0.043,-0.06,1,1,False
ConjuntoDePrueba20,SANNWR-adaptado,44.714,45.226,92.488,91.387,1.101,1.2,3,2,True
ConjuntoDePrueba20,SANNWR-original,46.798,46.04,95.877,90.122,5.755,6.39,2,3,True
RandomKFold,GNNWR,46.413,46.037,91.111,90.371,0.74,0.82,2,3,True
RandomKFold,GWR,48.135,48.513,96.519,97.243,-0.724,-0.74,5,4,True
RandomKFold,OLS,74.592,74.592,141.656,141.656,0.0,0.0,6,6,False
RandomKFold,RF,38.935,38.926,81.563,81.547,0.016,0.02,1,1,False
RandomKFold,SANNWR-adaptado,45.498,45.729,90.826,91.892,-1.066,-1.16,3,2,True
RandomKFold,SANNWR-original,50.031,47.544,100.81,95.35,5.46,5.73,4,5,True
