variable,mediana_global,n_empates,n_unicos,continua,imputada
topografia_factor,1.0,5017,19,False,False
uso_suelo_cod,1.0,4317,6,False,False
tiene_const,1.0,3597,2,False,False
es_ph,0.0,3361,2,False,False
num_pisos,1.0,2735,9,False,False
suscept_codigo,2.0,2721,4,False,False
acabados_cod,3.0,2720,6,False,False
conservacion_cod,3.0,2720,5,False,False
cos_num,0.5,1618,11,False,False
frente_m,12.09,134,2823,True,True
log_area,5.613912162854918,131,3845,True,True
area_const_m2,121.505,131,3320,True,True
antiguedad,17.0,70,82,False,False
pendiente_grados,5.445,37,1672,True,True
pc_pnbi,8.94308943089431,2,2244,True,False
dist_via_principal,188.41275701026868,1,4933,True,False
dist_cc,6871.83476959916,1,4933,True,False
dist_centr_zonal,2411.279759694419,1,4933,True,False
dist_centr_metro,4837.337891266491,1,4933,True,False
dist_metro,4829.99214551788,1,4933,True,False
dist_industrial,8181.293194315246,1,4933,True,False
dist_parque_metro,2911.0133927069055,1,4933,True,False
dist_hospital,3973.7971979606846,1,4933,True,False
dist_universidad,6116.685658890594,1,4933,True,False
dist_plataforma_gub,8889.452287940716,1,4933,True,False
dist_quebrada,245.07557730720313,1,4892,True,False
dist_mercado_mayorista,9040.1430695969,1,4933,True,False
