frente_m,log_area,area_const_m2,pendiente_grados,predio_join
False,False,False,False,453
False,False,False,False,568
False,False,False,False,588
False,False,False,False,813
False,False,False,False,1046
False,False,False,False,1157
False,False,False,False,1231
False,False,False,False,1369
False,False,False,False,1486
False,False,False,False,1519
True,True,True,False,1644
False,False,False,False,1783
False,False,False,False,1905
False,False,False,False,2090
False,False,False,False,2122
False,False,False,False,2444
False,False,False,False,2503
False,False,False,False,2533
False,False,False,False,2782
False,False,False,False,2919
False,False,False,False,3003
False,False,False,False,3471
False,False,False,False,3522
False,False,False,False,3622
False,False,False,False,3952
False,False,False,False,3957
False,False,False,False,3960
False,False,False,False,4202
False,False,False,False,4558
False,False,False,False,4637
False,False,False,False,4694
False,False,False,False,4753
False,False,False,False,4900
False,False,False,False,5163
False,False,False,False,5214
False,False,False,False,5341
False,False,False,False,5346
False,False,False,False,5424
False,False,False,False,5714
False,False,False,False,5736
False,False,False,False,5847
False,False,False,False,5882
False,False,False,False,6060
False,False,False,False,6268
False,False,False,False,6417
False,False,False,False,6875
False,False,False,False,7299
False,False,False,False,7304
False,False,False,False,7357
False,False,False,False,7364
False,False,False,False,7467
False,False,False,False,7640
False,False,False,False,7832
False,False,False,False,8463
False,False,False,False,8585
False,False,False,False,8605
False,False,False,False,8664
False,False,False,False,8744
False,False,False,False,8754
False,False,False,False,9031
False,False,False,False,9127
False,False,False,False,9310
False,False,False,False,9423
False,False,False,False,9441
True,True,True,False,9735
False,False,False,False,9849
False,False,False,False,10249
False,False,False,False,10420
False,False,False,False,10550
False,False,False,False,10689
False,False,False,False,10812
False,False,False,False,10878
False,False,False,False,10962
False,False,False,False,11025
False,False,False,False,11113
False,False,False,False,11137
False,False,False,False,11183
False,False,False,False,11227
False,False,False,False,11709
False,False,False,False,11771
False,False,False,False,11792
False,False,False,False,11927
False,False,False,False,12109
False,False,False,False,12275
False,False,False,False,12292
False,False,False,False,12336
False,False,False,False,12383
False,False,False,False,12533
False,False,False,False,12607
False,False,False,False,12641
False,False,False,False,12654
False,False,False,False,12776
False,False,False,False,12998
False,False,False,False,13042
False,False,False,False,13109
False,False,False,False,13300
False,False,False,False,13972
False,False,False,False,14019
False,False,False,False,14037
False,False,False,False,14052
False,False,False,False,14281
False,False,False,False,14401
False,False,False,False,14510
False,False,False,False,14615
False,False,False,False,14903
False,False,False,False,15249
False,False,False,False,15471
False,False,False,False,15834
