esquema,pliegue,variable,mediana_usada_global,mediana_solo_train_del_pliegue,dif_pct
RandomKFold,0,area_const_m2,121.505,119.08,1.9958
RandomKFold,0,pendiente_grados,5.445,5.4,0.8264
RandomKFold,0,frente_m,12.09,12.15,0.4963
RandomKFold,0,log_area,5.613912162854918,5.6131281063880705,0.014
RandomKFold,1,area_const_m2,121.505,119.61500000000001,1.5555
RandomKFold,1,pendiente_grados,5.445,5.52,1.3774
RandomKFold,1,frente_m,12.09,12.21,0.9926
RandomKFold,1,log_area,5.613912162854918,5.607086638803866,0.1216
RandomKFold,2,pendiente_grados,5.445,5.35,1.7447
RandomKFold,2,area_const_m2,121.505,119.695,1.4897
RandomKFold,2,frente_m,12.09,12.08,0.0827
RandomKFold,2,log_area,5.613912162854918,5.612580361217352,0.0237
RandomKFold,3,area_const_m2,121.505,117.88,2.9834
RandomKFold,3,pendiente_grados,5.445,5.41,0.6428
RandomKFold,3,frente_m,12.09,12.16,0.579
RandomKFold,3,log_area,5.613912162854918,5.610862768724507,0.0543
RandomKFold,4,area_const_m2,121.505,117.84,3.0163
RandomKFold,4,pendiente_grados,5.445,5.35,1.7447
RandomKFold,4,log_area,5.613912162854918,5.603464570201101,0.1861
RandomKFold,4,frente_m,12.09,12.07,0.1654
SpatialBlock,0,pendiente_grados,5.445,5.29,2.8466
SpatialBlock,0,frente_m,12.09,11.825,2.1919
SpatialBlock,0,area_const_m2,121.505,122.97999999999999,1.2139
SpatialBlock,0,log_area,5.613912162854918,5.550650651887116,1.1269
SpatialBlock,1,area_const_m2,121.505,118.71000000000001,2.3003
SpatialBlock,1,pendiente_grados,5.445,5.57,2.2957
SpatialBlock,1,frente_m,12.09,12.34,2.0678
SpatialBlock,1,log_area,5.613912162854918,5.6526119722071,0.6894
SpatialBlock,2,area_const_m2,121.505,108.37,10.8103
SpatialBlock,2,frente_m,12.09,12.63,4.4665
SpatialBlock,2,pendiente_grados,5.445,5.5,1.0101
SpatialBlock,2,log_area,5.613912162854918,5.638354669333745,0.4354
SpatialBlock,3,pendiente_grados,5.445,5.32,2.2957
SpatialBlock,3,area_const_m2,121.505,122.48,0.8024
SpatialBlock,3,log_area,5.613912162854918,5.579729825986222,0.6089
SpatialBlock,3,frente_m,12.09,12.07,0.1654
SpatialBlock,4,area_const_m2,121.505,123.785,1.8765
SpatialBlock,4,pendiente_grados,5.445,5.35,1.7447
SpatialBlock,4,frente_m,12.09,12.004999999999999,0.7031
SpatialBlock,4,log_area,5.613912162854918,5.615733658494169,0.0324
ConjuntoDePrueba20,0,area_const_m2,121.505,118.7,2.3085
ConjuntoDePrueba20,0,pendiente_grados,5.445,5.41,0.6428
ConjuntoDePrueba20,0,frente_m,12.09,12.13,0.3309
ConjuntoDePrueba20,0,log_area,5.613912162854918,5.610862768724507,0.0543
