brazo,esquema,pliegue,modelo,semilla,semilla_efectiva,n_train,n_eval,segundos,rapido,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
en_fold,BloquesEspaciales,0,GNNWR,42,1042,3444,596,197.2,False,30.841,42.101,29.7609,0.4816,0.4718,1.037283
en_fold,BloquesEspaciales,0,GWR,42,1042,3444,596,72.8,False,29.5429,42.6599,28.2926,0.4677,0.4862,1.025197
en_fold,BloquesEspaciales,0,OLS,42,1042,3444,596,0.0,False,47.9191,69.1733,46.5465,-0.3995,0.0274,1.089733
en_fold,BloquesEspaciales,0,RF,42,1042,3444,596,5.2,False,33.2375,46.8603,29.3003,0.3578,0.3879,1.003663
en_fold,BloquesEspaciales,0,SANNWR-adaptado,42,1042,3444,596,205.0,False,31.1813,44.7332,29.2361,0.4147,0.4241,1.000779
en_fold,BloquesEspaciales,0,SANNWR-original,42,1042,3444,596,261.2,False,37.4983,51.4163,35.667,0.2268,0.1626,1.013432
en_fold,BloquesEspaciales,1,GNNWR,42,1043,3278,762,183.9,False,80.7837,148.2016,29.8789,0.7533,0.8521,1.025913
en_fold,BloquesEspaciales,1,GWR,42,1043,3278,762,67.3,False,83.7195,146.0562,31.4753,0.7604,0.7725,1.022086
en_fold,BloquesEspaciales,1,OLS,42,1043,3278,762,0.0,False,108.6442,200.0923,38.5419,0.5503,0.6817,1.085581
en_fold,BloquesEspaciales,1,RF,42,1043,3278,762,4.9,False,93.9914,169.2627,32.3864,0.6782,0.7928,1.003583
en_fold,BloquesEspaciales,1,SANNWR-adaptado,42,1043,3278,762,242.8,False,74.5374,135.0797,28.4428,0.7951,0.8313,1.038643
en_fold,BloquesEspaciales,1,SANNWR-original,42,1043,3278,762,179.8,False,72.1567,122.592,30.6334,0.8312,0.819,1.007988
en_fold,BloquesEspaciales,2,GNNWR,42,1044,3348,692,186.1,False,91.8521,145.5569,48.6776,0.7425,0.6872,1.030473
en_fold,BloquesEspaciales,2,GWR,42,1044,3348,692,66.6,False,106.2468,169.5029,58.3057,0.6508,0.6067,1.023386
en_fold,BloquesEspaciales,2,OLS,42,1044,3348,692,0.0,False,137.5434,214.5737,70.1472,0.4404,0.529,1.080971
en_fold,BloquesEspaciales,2,RF,42,1044,3348,692,5.1,False,103.8002,155.9214,50.6245,0.7045,0.6382,1.002878
en_fold,BloquesEspaciales,2,SANNWR-adaptado,42,1044,3348,692,172.1,False,96.3252,148.8899,52.3551,0.7306,0.6295,1.01184
en_fold,BloquesEspaciales,2,SANNWR-original,42,1044,3348,692,120.4,False,110.7998,169.2585,59.3889,0.6518,0.6137,1.012573
en_fold,BloquesEspaciales,3,GNNWR,42,1045,2802,1238,255.7,False,62.7607,111.1236,31.649,0.7076,0.4808,1.039324
en_fold,BloquesEspaciales,3,GWR,42,1045,2802,1238,44.4,False,76.5942,134.551,38.9841,0.5713,0.3579,1.02068
en_fold,BloquesEspaciales,3,OLS,42,1045,2802,1238,0.0,False,78.7434,143.5305,41.4626,0.5121,0.5012,1.085415
en_fold,BloquesEspaciales,3,RF,42,1045,2802,1238,4.1,False,68.5667,123.1238,30.099,0.641,0.5472,1.003769
en_fold,BloquesEspaciales,3,SANNWR-adaptado,42,1045,2802,1238,212.3,False,66.929,121.5205,32.1105,0.6503,0.4087,1.004768
