brazo,esquema,modelo,RMSE,RMSE_sd_pliegues,MAE,R2,pliegues
en_fold,BloquesEspaciales,GNNWR,97.775,52.978,59.239,0.637,5
en_fold,BloquesEspaciales,GWR,108.488,58.323,66.596,0.55,5
en_fold,BloquesEspaciales,OLS,135.767,74.078,82.453,0.27,5
en_fold,BloquesEspaciales,RF,107.901,59.307,66.136,0.564,5
en_fold,BloquesEspaciales,SANNWR-adaptado,99.141,50.267,60.241,0.6,5
en_fold,BloquesEspaciales,SANNWR-original,101.863,52.832,63.515,0.559,5
en_fold,ConjuntoDePrueba20,GNNWR,99.28,,48.99,0.802,1
en_fold,ConjuntoDePrueba20,GWR,96.771,,48.122,0.812,1
en_fold,ConjuntoDePrueba20,OLS,139.01,,72.295,0.612,1
en_fold,ConjuntoDePrueba20,RF,76.595,,37.494,0.882,1
en_fold,ConjuntoDePrueba20,SANNWR-adaptado,92.488,,44.714,0.828,1
en_fold,ConjuntoDePrueba20,SANNWR-original,95.877,,46.798,0.815,1
en_fold,RandomKFold,GNNWR,91.111,10.221,46.413,0.835,5
en_fold,RandomKFold,GWR,96.519,7.362,48.135,0.814,5
en_fold,RandomKFold,OLS,141.656,7.531,74.592,0.601,5
en_fold,RandomKFold,RF,81.563,3.795,38.935,0.867,5
en_fold,RandomKFold,SANNWR-adaptado,90.826,6.159,45.498,0.836,5
en_fold,RandomKFold,SANNWR-original,100.81,9.363,50.031,0.797,5
global,BloquesEspaciales,GNNWR,99.235,55.297,59.617,0.633,5
global,BloquesEspaciales,GWR,108.531,58.342,66.592,0.549,5
global,BloquesEspaciales,OLS,135.773,74.07,82.452,0.27,5
global,BloquesEspaciales,RF,107.854,59.297,66.087,0.565,5
global,BloquesEspaciales,SANNWR-adaptado,99.167,50.558,62.284,0.601,5
global,BloquesEspaciales,SANNWR-original,101.541,52.277,63.338,0.561,5
global,ConjuntoDePrueba20,GNNWR,96.329,,48.324,0.814,1
global,ConjuntoDePrueba20,GWR,98.152,,48.79,0.806,1
global,ConjuntoDePrueba20,OLS,139.009,,72.295,0.612,1
global,ConjuntoDePrueba20,RF,76.638,,37.507,0.882,1
global,ConjuntoDePrueba20,SANNWR-adaptado,91.387,,45.226,0.832,1
global,ConjuntoDePrueba20,SANNWR-original,90.122,,46.04,0.837,1
global,RandomKFold,GNNWR,90.371,11.196,46.037,0.837,5
global,RandomKFold,GWR,97.243,7.983,48.513,0.811,5
global,RandomKFold,OLS,141.656,7.529,74.592,0.601,5
global,RandomKFold,RF,81.547,3.789,38.926,0.867,5
global,RandomKFold,SANNWR-adaptado,91.892,7.529,45.729,0.832,5
global,RandomKFold,SANNWR-original,95.35,6.937,47.544,0.819,5
