modelo,hiperparametros,veces_elegida
HGB,"{""max_iter"": 400, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 10}",3
HGB,"{""max_iter"": 400, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",3
HGB,"{""max_iter"": 400, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 10}",2
HGB,"{""max_iter"": 400, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",1
HGB,"{""max_iter"": 800, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",1
HGB,"{""max_iter"": 800, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 10}",1
RF,"{""n_estimators"": 800, ""max_features"": 1.0, ""min_samples_leaf"": 1}",3
RF,"{""n_estimators"": 300, ""max_features"": 0.5, ""min_samples_leaf"": 5}",2
RF,"{""n_estimators"": 300, ""max_features"": 1.0, ""min_samples_leaf"": 1}",2
RF,"{""n_estimators"": 300, ""max_features"": 0.33, ""min_samples_leaf"": 1}",1
RF,"{""n_estimators"": 300, ""max_features"": 0.33, ""min_samples_leaf"": 2}",1
RF,"{""n_estimators"": 300, ""max_features"": 0.33, ""min_samples_leaf"": 5}",1
RF,"{""n_estimators"": 800, ""max_features"": 0.5, ""min_samples_leaf"": 2}",1
