esquema,pliegue,modelo,brazo,semilla,n_train,n_eval,segundos,hiperparametros,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
BloquesEspaciales,0,HGB,ajustado,42,3444,596,205.4,"{""max_iter"": 400, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 10}",31.6423,44.0256,27.2773,0.4331,0.4473,1.004394
BloquesEspaciales,0,HGB,defecto,42,3444,596,2.2,"""por defecto""",31.117,43.7458,26.871,0.4403,0.4498,1.005069
BloquesEspaciales,0,RF,ajustado,42,3444,596,175.5,"{""n_estimators"": 300, ""max_features"": 0.5, ""min_samples_leaf"": 5}",31.0054,44.2226,27.2358,0.428,0.4583,1.015226
BloquesEspaciales,0,RF,defecto,42,3444,596,4.9,"""por defecto""",33.1513,46.7691,29.2395,0.3602,0.3896,1.003694
BloquesEspaciales,1,HGB,ajustado,42,3278,762,204.8,"{""max_iter"": 400, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 10}",91.715,161.73,31.446,0.7062,0.8103,1.000901
BloquesEspaciales,1,HGB,defecto,42,3278,762,2.4,"""por defecto""",90.2569,166.649,29.3512,0.6881,0.8153,1.004844
BloquesEspaciales,1,RF,ajustado,42,3278,762,168.4,"{""n_estimators"": 300, ""max_features"": 0.33, ""min_samples_leaf"": 1}",85.2871,159.5811,29.8947,0.714,0.8175,1.004044
BloquesEspaciales,1,RF,defecto,42,3278,762,4.9,"""por defecto""",93.9665,169.23,32.3685,0.6784,0.793,1.003556
BloquesEspaciales,2,HGB,ajustado,42,3348,692,205.6,"{""max_iter"": 400, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
BloquesEspaciales,2,HGB,defecto,42,3348,692,2.3,"""por defecto""",98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
BloquesEspaciales,2,RF,ajustado,42,3348,692,173.3,"{""n_estimators"": 800, ""max_features"": 0.5, ""min_samples_leaf"": 2}",96.3768,149.5993,47.8717,0.728,0.6697,1.005698
BloquesEspaciales,2,RF,defecto,42,3348,692,4.9,"""por defecto""",103.6626,155.7683,50.6529,0.7051,0.639,1.002757
BloquesEspaciales,3,HGB,ajustado,42,2802,1238,208.6,"{""max_iter"": 400, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",70.3793,125.7727,30.8169,0.6254,0.5326,1.000795
BloquesEspaciales,3,HGB,defecto,42,2802,1238,2.3,"""por defecto""",68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
BloquesEspaciales,3,RF,ajustado,42,2802,1238,142.6,"{""n_estimators"": 300, ""max_features"": 0.33, ""min_samples_leaf"": 5}",68.7903,123.5199,30.5867,0.6387,0.577,1.015071
BloquesEspaciales,3,RF,defecto,42,2802,1238,3.9,"""por defecto""",68.554,123.1754,30.085,0.6407,0.5471,1.003806
