modelo_a,modelo_b,dif_media_MAE,n_nominal,p_nominal,moran_I_diferencia,moran_p,n_efectivo,reduccion_pct,p_con_n_efectivo,n_bloques,p_por_bloque,n_regiones,p_por_region,p_nominal_holm,p_con_n_efectivo_holm,significativo_nominal,significativo_con_n_efectivo,significativo_por_bloque,significativo_por_region
OLS,GWR,23.504745344635296,1011,6.369690974208867e-25,0.4032,0.001,119.44140290412345,88.2,0.0004055883142682153,5,0.010625951470122286,10,0.015608205838662487,4.4587836819462064e-24,0.003650294828413938,True,True,True,True
OLS,GNNWR,25.99019006060793,1011,1.681332441605907e-25,0.3407,0.001,129.61072530131537,87.2,0.00019146095830481502,5,0.013754568348209229,10,0.01847256170622937,1.5131991974453164e-24,0.0019146095830481502,True,True,True,True
OLS,SANNWR-adaptado,27.95311967508503,1011,5.406131886293635e-25,0.4191,0.001,102.68549220020913,89.8,0.0010279718212062752,5,0.018788957653856263,10,0.0264498615147376,4.324905509034908e-24,0.008223774569650202,True,True,True,True
OLS,RF,34.68208183600414,1011,6.670149113976715e-38,0.4274,0.001,39.51674438294651,96.1,0.011526359640533218,5,0.01920997672721982,10,0.02660491294755983,6.6701491139767146e-37,0.07920512475621014,True,True,True,True
GWR,GNNWR,2.4854447159726294,1011,0.009177204913727342,0.0999,0.001,535.3675759346297,47.0,0.058025210901010045,5,0.1076009154074284,10,0.12210670298870499,0.018354409827454683,0.22410406086033702,True,False,False,False
GWR,SANNWR-adaptado,4.44837433044973,1011,0.00014037597983471872,0.1585,0.001,447.6642026301019,55.7,0.011315017822315733,5,0.1145894992171428,10,0.17387518966451415,0.00042112793950415615,0.07920512475621014,True,True,False,False
GWR,RF,11.177336491368838,1011,6.841384656468993e-14,0.1986,0.001,66.28223308228523,93.4,0.056026015215084254,5,0.048566571729597295,10,0.06977890110310041,4.1048307938813957e-13,0.22410406086033702,True,False,True,False
GNNWR,SANNWR-adaptado,1.9629296144771007,1011,0.07117975081206401,0.0926,0.001,601.7185796670578,40.5,0.16399601061242214,5,0.20121061219681116,10,0.2980926934700855,0.07117975081206401,0.22410406086033702,False,False,False,False
GNNWR,RF,8.691891775396208,1011,7.63963379201766e-10,0.1171,0.001,94.49941074060432,90.7,0.06062559717240639,5,0.04873034653120292,10,0.07043368390320645,3.81981689600883e-09,0.22410406086033702,True,False,True,False
SANNWR-adaptado,RF,6.728962160919106,1011,1.3092581347638045e-05,0.0807,0.001,257.4202590513737,74.5,0.0279711110305878,5,0.027029770944647046,10,0.039091968176376356,5.237032539055218e-05,0.139855555152939,True,True,True,True
