modelo,variable,grupo,tipo,delta_RMSE,sd
RF,suscept_codigo,15,individual,0.092,0.133
RF,pc_pnbi,8,individual,4.431,0.643
RF,dist_metro,12,individual,43.725,2.597
RF,dist_centr_metro,12,individual,50.919,1.44
RF,dist_centr_zonal,9,individual,5.621,0.573
RF,dist_cc,11,individual,122.991,9.556
RF,dist_universidad,11,individual,22.698,1.523
RF,dist_hospital,12,individual,10.6,1.474
RF,dist_parque_metro,1,individual,57.733,8.699
RF,dist_industrial,2,individual,38.946,4.86
RF,dist_via_principal,13,individual,1.054,0.442
RF,cos_num,3,individual,3.563,1.876
RF,dist_quebrada,4,individual,1.991,0.619
RF,dist_mercado_mayorista,12,individual,32.617,2.674
RF,dist_plataforma_gub,11,individual,18.591,0.635
RF,log_area,7,individual,3.786,0.28
RF,frente_m,7,individual,4.84,0.395
RF,area_const_m2,10,individual,-0.102,0.498
RF,tiene_const,10,individual,0.524,0.225
RF,num_pisos,10,individual,0.425,0.217
RF,antiguedad,10,individual,1.407,0.561
RF,topografia_factor,17,individual,0.012,0.001
RF,conservacion_cod,10,individual,0.446,0.22
RF,acabados_cod,10,individual,0.863,0.308
RF,es_ph,7,individual,0.152,0.047
RF,pendiente_grados,5,individual,2.341,0.763
RF,uso_02,6,individual,0.247,0.066
RF,uso_03,16,individual,0.013,0.002
RF,uso_06,14,individual,0.082,0.137
RF,uso_otros,18,individual,0.0,0.0
RF,grupo 1 (1 vars),1,grupo,57.733,8.699
RF,grupo 2 (1 vars),2,grupo,38.946,4.86
RF,grupo 3 (1 vars),3,grupo,3.563,1.876
RF,grupo 4 (1 vars),4,grupo,1.991,0.619
RF,grupo 5 (1 vars),5,grupo,2.341,0.763
RF,grupo 6 (1 vars),6,grupo,0.247,0.066
RF,grupo 7 (3 vars),7,grupo,10.003,0.517
RF,grupo 8 (1 vars),8,grupo,4.431,0.643
RF,grupo 9 (1 vars),9,grupo,5.621,0.573
RF,grupo 10 (6 vars),10,grupo,4.5,1.627
RF,grupo 11 (3 vars),11,grupo,145.976,8.397
RF,grupo 12 (4 vars),12,grupo,86.937,3.193
RF,grupo 13 (1 vars),13,grupo,1.054,0.442
RF,grupo 14 (1 vars),14,grupo,0.082,0.137
RF,grupo 15 (1 vars),15,grupo,0.092,0.133
RF,grupo 16 (1 vars),16,grupo,0.013,0.002
RF,grupo 17 (1 vars),17,grupo,0.012,0.001
RF,grupo 18 (1 vars),18,grupo,0.0,0.0
