variable,VIF,R2_contra_las_demas
dist_metro,143.89,0.9931
dist_plataforma_gub,110.94,0.991
dist_centr_metro,70.69,0.9859
dist_universidad,64.65,0.9845
dist_cc,57.87,0.9827
dist_mercado_mayorista,29.29,0.9659
dist_hospital,26.13,0.9617
tiene_const,11.68,0.9144
conservacion_cod,8.44,0.8816
dist_industrial,8.26,0.879
acabados_cod,7.74,0.8707
dist_parque_metro,3.97,0.748
es_ph,3.29,0.6962
antiguedad,3.1,0.6777
dist_centr_zonal,2.93,0.6586
log_area,2.91,0.6559
num_pisos,2.76,0.6378
cos_num,1.81,0.4471
pendiente_grados,1.66,0.3972
dist_quebrada,1.64,0.3919
frente_m,1.46,0.3169
uso_02,1.46,0.3165
area_const_m2,1.41,0.2892
suscept_codigo,1.38,0.2731
pc_pnbi,1.34,0.2536
uso_06,1.33,0.2508
dist_via_principal,1.27,0.2126
uso_03,1.07,0.0647
topografia_factor,1.03,0.0322
uso_otros,1.01,0.0088
